command,syntax
bridge multicast source group,"{'bridge multicast source ip-address group ip-multicast-address [add | remove] {ethernet interface-list | port-channel port-channel-list}]', 'no bridge multicast source ip-address group ip-multicast-address'}"
bridge multicast unregistered,"{'no bridge multicast unregistered', 'bridge multicast unregistered {forwarding | filtering}'}"
bridge unicast unknown,"{'bridge unicast unknown {filtering | forwarding}', 'no bridge unicast unknown'}"
ca-certificate install,"{'no ca-certificate install name WORD<1-160>', 'ca-certificate install name name [owner owner]', 'ca-certificate install name WORD<1-160> [owner WORD<1-32>]', 'no ca-certificate install {name name | owner owner}'}"
ca-certificate revoke,"{'no ca-certificate revoke issuer issuer serial-number serial-number', 'ca-certificate revoke issuer issuer serial-number serial-number'}"
cbd address,"{'cbd address {ip-address | hostname} [port port]', 'no cbd address'}"
cbd connection enable,"{'cbd connection enable', 'no cbd connection enable'}"
cbd key,"{'cbd key id id-string secret secret-string', 'no cbd key', 'encrypted cbd key id id-string secret encrypted-secret-string'}"
cbd network name,"{'cbd network name network-name', 'no cbd network name'}"
cbd organization name,"{'no cbd organization name', 'cbd organization name organization-name'}"
cbd probe enable,"{'no cbd probe enable', 'cbd probe enable'}"
cdp advertise-v2,"{'no cdp advertise-v2', 'cdp advertise-v2'}"
cdp appliance-tlv enable,"{'cdp appliance-tlv enable', 'no cdp appliance-tlv enable'}"
cdp appliance-vlan enable,"{'no cdp appliance-vlan enable', 'cdp appliance-vlan enable'}"
cdp device-id format,"{'cdp device-id format {mac | serial-number | hostname}', 'no cdp device-id format'}"
cdp enable,"{'cdp enable', 'no cdp enable'}"
cdp holdtime,"{'no cdp holdtime', 'cdp holdtime seconds'}"
cdp log mismatch duplex,"{'cdp log mismatch duplex', 'no cdp log mismatch duplex'}"
cdp log mismatch native,"{'cdp log mismatch native', 'no cdp log mismatch native'}"
cdp log mismatch voip,"{'no cdp log mismatch voip', 'cdp log mismatch voip'}"
cdp mandatory-tlvs validation,"{'no cdp mandatory-tlvs validation', 'cdp mandatory-tlvs validation'}"
cdp pdu,"{'cdp pdu {bridging | filtering | flooding}', 'cdp pdu [filtering | bridging | flooding]', 'no cdp pdu'}"
cdp run,"{'cdp run', 'no cdp run'}"
cdp source-interface,"{'cdp source-interface interface-id', 'no cdp source-interface'}"
cdp timer,"{'cdp timer seconds', 'no cdp timer'}"
channel-group,"{'no channel-group', 'channel-group port channel mode {active | on | passive}', 'channel-group port-channel mode {on | auto}'}"
class,"{'no class class-map-name', 'class class-map-name', 'class class-map-name [access-group acl-name]'}"
class-map,"{'no class-map class-map-name', 'class-map class-map-name [match-any]', 'class-map class-map-name [match-all | match-any]'}"
clear arp-cache,"{'clear arp-cache', 'clear arp-cache [ip-address]'}"
clear counters,"{'clear counters [interfaces interface-id]', 'clear counters [interface-id]'}"
clear gvrp statistics,"{'clear gvrp {error-statistics | statistics} [interfaces interface-id]', 'clear gvrp statistics [interface-id]'}"
clear lldp statistics,"{'clear lldp statistics', 'clear lldp statistics [global | interface-id]'}"
clear logging,"{'clear logging {buffered | file}', 'clear logging'}"
clear mac address-table,"{'clear mac address-table dynamic [interfaces interface-id | vlan vlan-id]', 'clear mac address-table secure interface interface-id', 'clear mac address-table dynamic interface interface-id'}"
clear spanning-tree detected-protocols,"{'clear spanning-tree detected-protocols [interface interface-id]', 'clear spanning-tree detected-protocols [interfaces interface-id]'}"
client-name,"{'no client-name', 'client-name name'}"
clock dhcp timezone,"{'clock dhcp timezone', 'no clock dhcp timezone'}"
clock set,"{'clock set hh:mm:ss {[day month] | [month day]} year', 'clock set HH:MM:SS month day year'}"
clock source,"{'clock source {sntp | browser}', 'no clock source {sntp | browser}', 'clock source {sntp | local}'}"
clock summer-time,"{'clock summer-time zone recurring {usa | eu | {week day month hh:mm week day month hh:mm} [offset]', 'clock summer-time zone recurring {usa | eu | {week date month HH:MM week month date HH:MM} [offset]', 'no clock summer-time', 'clock summer-time zone date month day year HH:MM month day year HH:MM [offset]', 'clock summer-time zone date day month year hh:mm date month year hh:mm [offset]', 'clock summer-time zone date month day year hh:mm month day year hh:mm [offset]'}"
clock timezone,"{'no clock timezone', 'clock timezone zone HOUR-OFFSET [minutes]', 'clock timezone zone hours-offset [minutes-offset]'}"
copy,"{'*copy {running-config | startup-config} dst-url', 'copy src-url running-config', 'copy {running-config | startup-config} dst-url [exclude | include-encrypted | include-plaintext]', 'copy', 'copy running-config startup-config', 'copy tech-support cbd usb:/<file-path>', 'copy src-url dst-url'}"
crypto certificate generate,"{'crypto certificate number generate [key-generate [length] [cn common- name] [ou organization-unit] [or organization] [loc location] [st state] [cu country] [duration days]', 'crypto certificate generate'}"
crypto certificate import,"{'no crypto certificate number', 'encrypted crypto certificate number import', 'crypto certificate number import'}"
crypto key import,"{'crypto key import {dsa| rsa}', 'no crypto key {dsa| rsa}', 'encrypted crypto key import {dsa| rsa}'}"
default-information originate,"{'default-information originate', 'no default-information originate'}"
default-metric,"{'no default-metric', 'default-metric [metric-value]'}"
default-router,"{'default-router ip-address [ip-address2 . ip-address8]', 'no default-router'}"
delete,"{'delete startup-config', 'delete url'}"
deny ( IP ),"{'deny protocol {any | source source-wildcard} {any | destination destination-wildcard} [ace-priority priority] [dscp number | precedence number] [time-range time-range-name] [disable-port|log-input ]', 'deny icmp {any | source source-wildcard} {any | destination destination-wildcard} [any | icmp-type] [any | icmp-code][ace-priority priority] [dscp number | precedence number][time-range time-range-name] [disable-port |log-input ]', 'no deny icmp {any | source source-wildcard} {any | destination destination-wildcard} [any | icmp-type] [any | icmp-code] [dscp number | precedence number][time-range time-range-name] [disable-port |log-input ]', 'no deny igmp {any | source source-wildcard} {any | destination destination-wildcard}[igmp-type] [dscp number | precedence number][time-range time-range-name] [disable-port |log-input ]', 'no deny tcp {any | source source-wildcard} {any|source-port/port-range}{any | destination destination-wildcard} {any|destination-port/port-range} [dscp number | precedence number][match-all list-of-flags] [time-range time-range-name] [disable-port |log-input ]', 'no deny protocol {any | source source-wildcard} {any | destination destination-wildcard} [dscp number | precedence number][time-range time-range-name] [disable-port |log-input ]', 'deny udp {any | source source-wildcard} {any|source-port/port-range} {any | destination destination-wildcard} {any|destination-port/port-range} [ace-priority priority] [dscp number | precedence number][time-range time-range-name] [disable-port |log-input ]', 'no deny udp {any | source source-wildcard} {any|source-port/port-range} {any | destination destination-wildcard} {any|destination-port/port-range} [dscp number | precedence number][time-range time-range-name] [disable-port |log-input ]', 'deny igmp {any | source source-wildcard} {any | destination destination-wildcard}[igmp-type][ace-priority priority] [dscp number | precedence number][time-range time-range-name] [disable-port |log-input ]', 'deny tcp {any | source source-wildcard} {any|source-port/port-range}{any | destination destination-wildcard} {any|destination-port/port-range} [ace-priority priority] [dscp number | precedence number][match-all list-of-flags][time-range time-range-name] [disable-port |log-input ]'}"
deny ( IPv6 ),"{'no deny protocol {any | {source-prefix/length}{any | destination-prefix/length} [dscp number | precedence number] [time-range time-range-name] [disable-port |log-input] [flow-label flow-label-value]', 'deny icmp {any | {source-prefix/length}{any | destination-prefix/length} {any|icmp-type} {any|icmp-code} [ace-priority priority][dscp number | precedence number] [time-range time-range-name] [disable-port |log-input] [flow-label flow-label-value]', 'no deny icmp {any | {source-prefix/length}{any | destination-prefix/length} {any|icmp-type} {any|icmp-code} [dscp number | precedence number] [time-range time-range-name] [disable-port |log-input] [flow-label flow-label-value]', 'no deny udp {any | {source-prefix/length} {any | source-port}{any | destination-prefix/length} {any| destination-port} [dscp number | precedence number] [time-range time-range-name] [disable-port |log-input] [flow-label flow-label-value]', 'deny tcp {any | {source-prefix/length} {any | source-port}{any | destination-prefix/length} {any| destination-port} [ace-priority priority][dscp number | precedence number] [match-all list-of-flags] [time-range time-range-name] [disable-port |log-input] [flow-label flow-label-value]', 'deny udp {any | {source-prefix/length} {any | source-port}{any | destination-prefix/length} {any| destination-port} [ace-priority priority][dscp number | precedence number] [time-range time-range-name] [disable-port |log-input] [flow-label flow-label-value]', 'no deny tcp {any | {source-prefix/length} {any | source-port}{any | destination-prefix/length} {any| destination-port} [dscp number | precedence number] [match-all list-of-flags] [time-range time-range-name] [disable-port |log-input] [flow-label flow-label-value]', 'deny protocol {any | {source-prefix/length}{any | destination-prefix/length} [ace-priority priority][dscp number | precedence number] [time-range time-range-name] [disable-port |log-input] [flow-label flow-label-value]'}"
deny (IP),"{'[sequence value] deny udp {any | source source-wildcard} {any | source-port/port-range} {any | destination destination-wildcard} {any | destination-port/port-range} [dscp number | precedence number] [disable-port]', 'no sequence value', '[sequence value] deny tcp {any | {source source-wildcard} {any | source-port/port-range } }{any | destination destination-wildcard} {any | destination-port/port-range} [dscp number | precedence number ] [match-all list-of-flags] [disable-port]', '[sequence value] deny icmp {any | source source-wildcard} {any | destination destination-wildcard } [any | icmp-type] [any | icmp-code] [dscp number | precedence number] [disable-port]', '[sequence value] deny protocol {any | source source-wildcard } {any | destination destination-wildcard} [dscp number | precedence number] [disable-port]'}"
deny (IPv6),"{'[sequence value] deny tcp {any | source-prefix/length} {any | source-port/port-range} {any | destination- prefix/length} {any| destination-port/port-range} [dscp number | precedence number] [match-all list-of-flags] [disable-port]', '[sequence value] deny udp {any | source-prefix/length} {any | source-port/port-range} {any | destination- prefix/length} {any | destination-port/port-range} [dscp number | precedence number] [match-all list-of-flags] [disable-port]', '[sequence value] deny icmp {any | source-prefix {any | source-prefix/length } {any | destination- prefix/length} {any | icmp-type} {any | icmp-code} [dscp number | precedence number] [disable-port]', 'no sequence value', '[sequence value] deny protocol {any | source-prefix/length} {any | destination- prefix/length} [dscp number | precedence number] [disable-port]'}"
deny (MAC),"{'source—Source MAC address of the packet.', 'deny {any | source source-wildcard} {any | destination destination-wildcard} [ace-priority priority][{eth-type 0}| aarp | amber | dec-spanning | decnet-iv | diagnostic | dsm | etype-6000] [vlan vlan-id] [cos cos cos-wildcard] [time-range time-range-name] [disable-port |log-input ]', 'Parameters', 'source-wildcard—Wildcard bits to be applied to the source MAC address. Use ones in the bit position that you want to be ignored.', 'log-input—Specifies sending an informational syslog message about the packet that matches the entry. Because forwarding/dropping is done in hardware and logging is done in software, if a large number of packets match an ACE containing a log-input keyword, the software might not be able to match the hardware processing rate, and not all packets will be logged.', 'destination-wildcard—Wildcard bits to be applied to the destination MAC address. Use 1s in the bit position that you want to be ignored.', 'vlan-id—The VLAN ID of the packet. (Range: 1–4094).', 'no sequence value', 'cos—The Class of Service of the packet.(Range: 0–7).', 'disable-port—The Ethernet interface is disabled if the condition is matched.', 'deny {any | source source-wildcard} {any | destination destination-wildcard} [vlan vlan-id] [cos cos cos-wildcard] [ethtype value] [disable-port]', 'cos-wildcard—Wildcard bits to be applied to the CoS.', 'destination—Destination MAC address of the packet.', 'no deny {any | source source-wildcard} {any | destination destination-wildcard} [{eth-type 0}| aarp | amber | dec-spanning | decnet-iv | diagnostic | dsm | etype-6000] [vlan vlan-id] [cos cos cos-wildcard] [time-range time-range-name] [disable-port |log-input ]', 'priority - Specify the priority of the access control entry (ACE) in the access control list (ACL). ""1"" value represents the highest priority and ""2147483647"" number represents the lowest priority.(Range: 1-2147483647)', 'time-range-name—Name of the time range that applies to this permit statement. (Range: 1–32)', 'eth-type—The Ethernet type in hexadecimal format of the packet.'}"
deny (Management),"{'deny [interface-id] [service service]', '[sequence sequence-number] deny {ip ipv4-address/ipv4mask | ipv6 ipv6-address/ipv6-prefix-length} [interfaces interface-id] service service', 'deny ip-source {ipv4-address | ipv6-address/ipv6-prefix-length} [mask {mask | prefix-length}] [interface-id] [service service]', '[sequence sequence-number] deny interfaces interface-id service service'}"
description,"{'no description', 'description string'}"
description 802.1x,"{'no description', 'description text'}"
device-role (IPv6 DHCP Guard),"{'no device-role', 'device-role {client | server}'}"
device-role (ND Inspection Policy),"{'no device-role', 'device-role {host | router}'}"
device-role (Neighbor Binding),"{'no device-role', 'device-role {perimeter | internal}'}"
device-role (RA Guard Policy),"{'no device-role', 'device-role {host | router}'}"
dir,"{'dir', 'dir [url]'}"
directed-broadcast,"{'no directed-broadcast', 'directed-broadcast'}"
disable ports leds,"{'disable ports leds', 'no disable ports leds'}"
dns-server,"{'no dns-server', 'dns-server ip-address [ip-address2 . ip-address8]'}"
domain-name,"{'no domain-name', 'domain-name domain'}"
dot1x auth-not-req,"{'dot1x auth-not-req', 'no dot1x auth-not-req'}"
dot1x authentication,"{'dot1x authentication [802.1x] [mac] [web]', 'no dot1x authentication'}"
dot1x credentials,"{'dot1x credentials name', 'no dot1x credentials name'}"
dot1x eap-max-retrans,"{'no dot1x eap-max-retrans', 'dot1x eap-max-retrans count'}"
dot1x guest-vlan,"{'dot1x guest-vlan', 'no dot1x guest-vlan'}"
dot1x guest-vlan enable,"{'no dot1x guest-vlan enable', 'dot1x guest-vlan enable', 'dot1x guest-vlan vlan-id enable'}"
dot1x guest-vlan enable (Interface),"{'no dot1x guest-vlan enable', 'dot1x guest-vlan enable'}"
dot1x guest-vlan timeout,"{'dot1x guest-vlan timeout timeout', 'no dot1x guest-vlan timeout'}"
dot1x host-mode,"{'dot1x host-mode {multi-host | single-host | multi-sessions}', 'no dot1x host-mode'}"
dot1x mac-auth,"{'no dot1x mac-auth', 'dot1x mac-auth {eap | radius} [username groupsize {1|2|4|12} separator {- | : |.} [lowercase | uppercase]'}"
dot1x mac-auth password,"{'encrypted dot1x mac-auth password encrypted-password', 'no dot1x mac-auth password', 'dot1x mac-auth password password'}"
dot1x max-hosts,"{'no dot1x max-hosts', 'dot1x max-hosts number', 'dot1x max-hosts count'}"
dot1x max-login-attempts,"{'no dot1x max-login-attempts', 'dot1x max-login-attempts count'}"
dot1x max-req,"{'dot1x max-req count', 'no dot1x max-req'}"
dot1x port-control,"{'dot1x port-control {auto | force-authorized | force-unauthorized} [time-range time-range-name]', 'dot1x port-control {auto | force-authorized | force-unauthorized}', 'no dot1x port-control'}"
dot1x radius-attributes vlan,"{'dot1x radius-attribute vlan {reject | static}', 'dot1x radius-attributes vlan [reject | static]', 'no dot1x radius-attribute vlan', 'no dot1x radius-attributes vlan'}"
dot1x reauthentication,"{'dot1x reauthentication', 'no dot1x reauthentication'}"
dot1x supplicant,"{'dot1x supplicant name', 'no dot1x supplicant'}"
dot1x supplicant traps authentication failure,"{'dot1x supplicant traps authentication failure', 'no dot1x supplicant traps authentication failure'}"
dot1x supplicant traps authentication success,"{'no dot1x supplicant traps authentication success', 'dot1x supplicant traps authentication success'}"
dot1x system-auth-control,"{'dot1x system-auth-control', 'no dot1x system-auth-control'}"
dot1x timeout eap-timeout,"{'dot1x timeout eap-timeout seconds', 'no dot1x timeout eap-timeout'}"
dot1x timeout quiet-period,"{'dot1x timeout quiet-period seconds', 'no dot1x timeout quiet-period'}"
dot1x timeout reauth-period,"{'no dot1x timeout reauth-period', 'dot1x timeout reauth-period seconds'}"
dot1x timeout server-timeout,"{'no dot1x timeout server-timeout', 'dot1x timeout server-timeout seconds'}"
dot1x timeout silence-period,"{'dot1x timeout silence-period seconds', 'no dot1x timeout silence-period'}"
dot1x timeout supp-timeout,"{'dot1x timeout supp-timeout seconds', 'no dot1x timeout supp-timeout'}"
dot1x timeout supplicant-held-period,"{'dot1x timeout supplicant-held-period seconds', 'no dot1x timeout supplicant-held-period'}"
dot1x timeout tx-period,"{'no dot1x timeout tx-period', 'dot1x timeout tx-period seconds'}"
dot1x traps authentication failure,"{'dot1x traps authentication failure {[802.1x] [mac] [web]}', 'no dot1x traps authentication failure'}"
dot1x traps authentication quiet,"{'no dot1x traps authentication quiet', 'dot1x traps authentication quiet'}"
dot1x traps authentication success,"{'dot1x traps authentication success {[802.1x] [mac] [web]}', 'no dot1x traps authentication success'}"
dot1x violation-mode,"{'no dot1x violation-mode', 'dot1x violation-mode {restrict | protect | shutdown} [traps seconds]', 'dot1x violation-mode {restrict | protect | shutdown} [trap seconds]'}"
drop-unsecure,"{'drop-unsecure [enable | disable]', 'no drop-unsecure'}"
duplex,"{'duplex {half | full | auto}', 'no duplex', 'duplex {half | full}'}"
dying-gasp enable,"{'dying-gasp enable method1 [method2…]', 'no dying-gasp enable'}"
eee enable (global),"{'no eee enable', 'eee enable'}"
eee enable (interface),"{'no eee enable', 'eee enable'}"
eee lldp enable,"{'eee lldp enable', 'no eee lldp enable'}"
enable,"{'no enable [level privilege-level]', 'enable secret 8 [level privilege-level] encrypted-password', 'enable [privilege-level]', 'enable algortithm-type hash-method [level privilege-level] unencrypted-password'}"
enable authentication,"{'enable authentication {default | list-name}', 'no enable authentication', 'enable authentication LISTNAME'}"
enable password,"{'no enable password [level privilege-level]', 'enable password [level privilege-level] {[method hash-method] unencrypted-password | encrypted encrypted-password}'}"
errdisable recovery,"{'errdisable recovery {cause {all | acl | arp-inspection | bpduguard | broadcast-flood | dot1x-src-address | dhcp-rate-limit | inline-power | loopback-detection | psecure-violation | selfloop | unicast-flood | unknown-multicastflood} | interval interval}', 'no errdisable recovery {cause {all | acl | arp-inspection | bpduguard | broadcast-flood | dot1x-src-address | dhcp-rate-limit | inline-power | loopback-detection | psecure-violation | selfloop | unicast-flood | unknown-multicastflood}'}"
errdisable recovery cause,"{'no errdisable recovery cause {all | port-security | dot1x-src-address | acl-deny | stp-bpdu-guard | stp-loopback-guard | loopback-detection | udld | storm-control | link-flap }', 'errdisable recovery cause {all | port-security | dot1x-src-address | acl-deny | stp-bpdu-guard | stp-loopback-guard | loopback-detection | udld | storm-control | link-flap }'}"
errdisable recovery interval,"{'errdisable recovery interval seconds', 'no errdisable recovery interval'}"
ethtype,"{'no ethtype', 'ethtype dot1q | dot1ad | 9100 | 9200'}"
exec-banner,"{'exec-banner', 'no exec-banner'}"
exec-timeout,"{'exec-timeout minutes [seconds]', 'no exec-timeout', 'exec-timeout minutes'}"
file-system logging,"{'file-system logging {copy | delete-rename}', 'no file-system logging {copy | delete-rename}'}"
flowcontrol,"{'flowcontrol {on | off}', 'flowcontrol {auto | on | off}', 'no flowcontrol'}"
green-ethernet energy-detect (global),"{'green-ethernet energy-detect', 'no green-ethernet energy-detect'}"
green-ethernet energy-detect (interface),"{'green-ethernet energy-detect', 'no green-ethernet energy-detect'}"
green-ethernet short-reach (global),"{'green-ethernet short-reach', 'no green-ethernet short-reach'}"
green-ethernet short-reach (interface),"{'green-ethernet short-reach', 'no green-ethernet short-reach'}"
gvrp enable (Global),"{'no gvrp enable', 'gvrp enable'}"
gvrp enable (Interface),"{'no gvrp enable', 'gvrp enable'}"
gvrp registration-forbid,"{'gvrp registration-forbid', 'no gvrp registration-forbid'}"
gvrp vlan-creation-forbid,"{'no gvrp vlan-creation-forbid', 'gvrp vlan-creation-forbid'}"
history,"{'history [size number-of-commands]', 'no history', 'history'}"
history size,"{'no history size', 'history size number-of-commands'}"
hop-limit,"{'no hop-limit [maximum] [minimum]', 'hop-limit {[maximum {value | disable}] [minimum {value | disable}]}'}"
hostname,"{'no hostname', 'hostname name'}"
instance (MST),"{'instance instance-id vlan vlan-range', 'no instance instance-id vlan vlan-range'}"
interface range,"{'interface range interface-id-list', 'interface range interface-list'}"
ip SSH logging,"{'no ip ssh logging', 'ip ssh logging [enable | disable]'}"
ip access-group in,"{'ip access-group acl-name in', 'no ip access-group in'}"
ip access-list (IP extended),"{'no ip access-list extended acl-name', 'ip access-list extended acl-name'}"
ip access-list (IP standard),"{'no ip access-list access-list-name', 'ip access-list access-list-name {deny|permit} {src-addr[/src-len] | any}'}"
ip access-list extended,"{'no ip access-list extended acl-name', 'ip access-list extended acl-name'}"
ip address,"{'ip address ip-address {mask | /prefix-length} [default-gateway-ip-address]', 'no ip address', 'no ip address [ip-address]', 'ip address ip-address {mask | /prefix-length}', 'Bluetooth Interface', 'OOB port:', 'In-Band interfaces:'}"
ip address dhcp,"{'no ip address dhcp', 'ip address dhcp'}"
ip arp inspection,"{'no ip arp inspection', 'ip arp inspection'}"
ip arp inspection limit rate,"{'no ip arp inspection limit rate', 'ip arp inspection limit rate VALUE'}"
ip arp inspection list assign,"{'ip arp inspection list assign vlan-id name', 'no ip arp inspection list assign vlan-id'}"
ip arp inspection list create,"{'no ip arp inspection list create name', 'ip arp inspection list create name'}"
ip arp inspection logging interval,"{'no ip arp inspection logging interval', 'ip arp inspection logging interval {seconds | infinite}'}"
ip arp inspection trust,"{'ip arp inspection trust', 'no ip arp inspection trust'}"
ip arp inspection validate,"{'ip arp inspection validate {dst-mac | ip [allow-zeros] | src-mac}', 'ip arp inspection validate', 'no ip arp inspection validate {dst-mac | ip [allow-zeros] | src-mac}', 'no ip arp inspection validate'}"
ip arp inspection vlan,"{'no ip arp inspection vlan vlan-id', 'ip arp inspection vlan vlan-id', 'ip arp inspection vlan VLAN-LIST', 'no ip arp inspection vlan VLAN-LIST'}"
ip arp proxy disable,"{'ip arp proxy disable', 'no ip arp proxy disable'}"
ip default-gateway,"{'ip default-gateway ip-address', 'no ip default-gateway [ip-address]', 'ip default-gateway IPv4-ADDR', 'no ip default-gateway'}"
ip dhcp excluded-address,"{'no ip dhcp excluded-address low-address [high-address]', 'ip dhcp excluded-address low-address [high-address]'}"
ip dhcp information option,"{'no ip dhcp information option', 'ip dhcp information option'}"
ip dhcp information option circuit-id,"{'ip dhcp information option circuit-id text', 'no ip dhcp information option circuit-id'}"
ip dhcp information option numeric-token-format,"{'ip dhcp information option numeric-token-format {hex|ascii}', 'no ip dhcp information option numeric-token-format'}"
ip dhcp information option remote-id,"{'ip dhcp information option remote-id text', 'no ip dhcp information option remote-id'}"
ip dhcp pool host,"{'ip dhcp pool host name', 'no ip dhcp pool host name'}"
ip dhcp pool network,"{'no ip dhcp pool network name', 'ip dhcp pool network name'}"
ip dhcp relay address (Global),"{'no ip dhcp relay address [ip-address]', 'ip dhcp relay address ip-address'}"
